"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 25 07:22:07 UTC 2026","Wed Mar 25 07:22:07 UTC 2026","5","tests.contract.cats","test_update_cat_contract","","","","test_patch_cat_invalid_catId_contract[nonexistent id]",""
"passed","Wed Mar 25 07:22:02 UTC 2026","Wed Mar 25 07:22:02 UTC 2026","77","tests.contract.cats","test_delete_cat_contract","","","","test_delete_cat_forbidden_contract",""
"passed","Wed Mar 25 07:21:27 UTC 2026","Wed Mar 25 07:21:27 UTC 2026","91","tests.api.cats","test_get_cat_api","","","","test_get_cats_by_age_breed_and_adoption_status",""
"passed","Wed Mar 25 07:21:44 UTC 2026","Wed Mar 25 07:21:44 UTC 2026","249","tests.contract.auth","test_login_contract","","","","test_wrong_login_contract",""
"passed","Wed Mar 25 07:21:23 UTC 2026","Wed Mar 25 07:21:23 UTC 2026","10","tests.api.auth","test_register_api","","","","test_register_user_name_boundary[payload1-too short 'firstName' and 'lastName']",""
"passed","Wed Mar 25 07:22:01 UTC 2026","Wed Mar 25 07:22:01 UTC 2026","11","tests.contract.cats","test_delete_cat_contract","","","","test_delete_cat_authorized_contract",""
"passed","Wed Mar 25 07:22:15 UTC 2026","Wed Mar 25 07:22:15 UTC 2026","5","tests.contract.users","test_get_user_contract","","","","test_get_adopted_cats_invalid_userid_format_contract[float id format]",""
"passed","Wed Mar 25 07:22:02 UTC 2026","Wed Mar 25 07:22:02 UTC 2026","5","tests.contract.cats","test_delete_cat_contract","","","","test_delete_invalid_ID_contract[invalid id format]",""
"passed","Wed Mar 25 07:21:46 UTC 2026","Wed Mar 25 07:21:46 UTC 2026","4","tests.contract.auth","test_register_contract","","","","test_register_contract_validation_error[payload0-missing 'lastName']",""
"passed","Wed Mar 25 07:21:41 UTC 2026","Wed Mar 25 07:21:41 UTC 2026","82","tests.api.users","test_delete_user_api","","","","test_delete_own_user_page",""
"passed","Wed Mar 25 07:21:27 UTC 2026","Wed Mar 25 07:21:27 UTC 2026","91","tests.api.cats","test_get_cat_api","","","","test_get_cat_with_health_card",""
"passed","Wed Mar 25 07:22:07 UTC 2026","Wed Mar 25 07:22:07 UTC 2026","4","tests.contract.cats","test_update_cat_contract","","","","test_patch_cat_invalid_catId_contract[float id format]",""
"passed","Wed Mar 25 07:22:12 UTC 2026","Wed Mar 25 07:22:12 UTC 2026","4","tests.contract.users","test_delete_user_contract","","","","test_delete_user_unauthorized_contract",""
"passed","Wed Mar 25 07:22:18 UTC 2026","Wed Mar 25 07:22:18 UTC 2026","0","tests","test_coverage","","","","test_api_coverage_report",""
"passed","Wed Mar 25 07:21:50 UTC 2026","Wed Mar 25 07:21:50 UTC 2026","4","tests.contract.cats","test_chip_cat_contract","","","","test_chip_cat_unauthorized_contract",""
"passed","Wed Mar 25 07:21:28 UTC 2026","Wed Mar 25 07:21:28 UTC 2026","80","tests.api.cats","test_patch_cat_api","","","","test_update_cat_success",""
"passed","Wed Mar 25 07:21:49 UTC 2026","Wed Mar 25 07:21:49 UTC 2026","10","tests.contract.cats","test_adopt_cat_contract","","","","test_patch_cat_invalid_userid_contract[nonexistent id]",""
"passed","Wed Mar 25 07:21:45 UTC 2026","Wed Mar 25 07:21:45 UTC 2026","3","tests.contract.auth","test_login_contract","","","","test_login_validation_error_contract[payload2-invalid type of fields]",""
"passed","Wed Mar 25 07:22:01 UTC 2026","Wed Mar 25 07:22:01 UTC 2026","5","tests.contract.cats","test_create_health-card_contract","","","","test_create_health_card_invalid_payload[payload6-empty payload]",""
"passed","Wed Mar 25 07:21:26 UTC 2026","Wed Mar 25 07:21:26 UTC 2026","8","tests.api.cats","test_create_cat_api","","","","test_invalid_cat_not_saved",""
"passed","Wed Mar 25 07:21:40 UTC 2026","Wed Mar 25 07:21:40 UTC 2026","98","tests.api.statistics","test_summary_stats_api","","","","test_stats_summary_counts_and_rate",""
"passed","Wed Mar 25 07:22:09 UTC 2026","Wed Mar 25 07:22:09 UTC 2026","4","tests.contract.external-api","test_register_chip_contract","","","","test_register_chip_invalid_breed_contract[empty]",""
"passed","Wed Mar 25 07:22:16 UTC 2026","Wed Mar 25 07:22:16 UTC 2026","5","tests.contract.users","test_make-admin_contract","","","","test_make_admin_invalid_id_format[float id format]",""
"passed","Wed Mar 25 07:22:05 UTC 2026","Wed Mar 25 07:22:05 UTC 2026","5","tests.contract.cats","test_patch_health-card_contract","","","","test_patch_health_card_invalid_id_format[float id format]",""
"passed","Wed Mar 25 07:22:00 UTC 2026","Wed Mar 25 07:22:00 UTC 2026","5","tests.contract.cats","test_create_health-card_contract","","","","test_create_health_card_invalid_payload[payload0-missing 'lastVaccination']",""
"passed","Wed Mar 25 07:22:05 UTC 2026","Wed Mar 25 07:22:05 UTC 2026","4","tests.contract.cats","test_patch_health-card_contract","","","","test_patch_health_card_invalid_payload[payload3-invalid type of 'lastVaccination']",""
"passed","Wed Mar 25 07:21:28 UTC 2026","Wed Mar 25 07:21:28 UTC 2026","90","tests.api.cats","test_get_cat_api","","","","test_get_cats_empty_list_with_filters",""
"passed","Wed Mar 25 07:22:03 UTC 2026","Wed Mar 25 07:22:04 UTC 2026","4","tests.contract.cats","test_get_cat_contract","","","","test_get_cat_by_invalid_id_contract[float id format]",""
"passed","Wed Mar 25 07:21:50 UTC 2026","Wed Mar 25 07:21:50 UTC 2026","5","tests.contract.cats","test_chip_cat_contract","","","","test_chip_cat_invalid_id_format_contract[nonexistent id]",""
"passed","Wed Mar 25 07:22:11 UTC 2026","Wed Mar 25 07:22:11 UTC 2026","85","tests.contract.users","test_delete_user_contract","","","","test_delete_own_user_page",""
"passed","Wed Mar 25 07:21:43 UTC 2026","Wed Mar 25 07:21:43 UTC 2026","74","tests.api.users","test_make-admin_api","","","","test_make_admin_success",""
"passed","Wed Mar 25 07:21:51 UTC 2026","Wed Mar 25 07:21:51 UTC 2026","18","tests.contract.cats","test_chip_cat_contract","","","","test_chip_cat_twice_contract",""
"passed","Wed Mar 25 07:22:14 UTC 2026","Wed Mar 25 07:22:14 UTC 2026","75","tests.contract.users","test_get_user_contract","","","","test_get_adopted_cats_contract",""
"passed","Wed Mar 25 07:21:57 UTC 2026","Wed Mar 25 07:21:57 UTC 2026","4","tests.contract.cats","test_create_cat_contract","","","","test_create_cat_invalid_contract[payload0-missing 'name']",""
"passed","Wed Mar 25 07:21:29 UTC 2026","Wed Mar 25 07:21:29 UTC 2026","99","tests.api.cats","test_patch_cat_api","","","","test_adopt_multiple_cats_success",""
"passed","Wed Mar 25 07:21:23 UTC 2026","Wed Mar 25 07:21:23 UTC 2026","10","tests.api.auth","test_register_api","","","","test_register_user_name_boundary[payload2-empty fields]",""
"passed","Wed Mar 25 07:22:11 UTC 2026","Wed Mar 25 07:22:11 UTC 2026","72","tests.contract.users","test_delete_user_contract","","","","test_delete_user_by_admin",""
"passed","Wed Mar 25 07:21:23 UTC 2026","Wed Mar 25 07:21:24 UTC 2026","30","tests.api.cats","test_chip_cat_api","","","","test_chip_cat_success",""
